Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
msa-heuristic,1.00,2.00,0.80,0.70,100,2,46.96,98,364,89629.00,2980,0.00,0.03,0.14,76.00
cycle-cover,1.00,2.00,0.80,0.60,100,2,34.88,89,377,78034.00,2826,0.00,0.04,0.14,72.00
baseline,1.00,2.00,0.80,0.00,100,3,37.14,88,411,84551.00,2736,0.00,0.04,0.14,68.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.30,100,1,32.30,99,232,97144.00,2899,0.00,0.07,0.14,52.00
