Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover,1.00,2.00,0.80,0.80,5000,8,457.56,4984,168,312782.00,27429,1.04,1.39,1.74,0.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.70,5000,20,678.96,3839,196,272132.00,33015,1.28,1.66,1.89,0.00
baseline,1.00,2.00,0.80,0.00,5000,6,645.18,4813,134,226531.00,20362,1.99,2.28,2.45,0.00
msa-heuristic,1.00,2.00,0.80,0.90,5000,62,717.00,2707,405,360452.00,20866,2.07,2.33,2.53,0.00
