Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,103,100,16,69.44,98,0,0.00,0,0.25,1.91,5.44,0.00
1.00,2.00,0.80,1.00,102,100,18,67.36,99,0,0.00,0,0.25,1.99,5.84,0.00
1.00,2.00,0.80,1.00,101,100,25,64.64,97,0,0.00,0,0.12,2.10,5.97,0.00
