Metric,Value
Instance,crane100_2
Dimension,100
Unique found-optimal tours,1
Unique found-optimal edges,100
Found-optimal edge density [%],1.01
Cycle cover cost,7231700.000000
Cycle cover gap to known optimum [%],10.30
Cycle cover cycles,29
Cycle cover min cycle length,2
Cycle cover avg cycle length,3.448276
Cycle cover max cycle length,8
Cycle cover edges,100
Cycle cover edge density [%],1.01
Cycle cover found-optimal edges,58
Cycle cover edges not seen in found-optimal tours,42
Cycle cover precision vs found-optimal edges [%],58.00
Cycle cover recall vs found-optimal edges [%],58.00
Cycle cover lift vs found-optimal edge density,57.420000
High MSA support threshold,1.000000
High MSA support edges,60
High MSA support edge density [%],0.61
High MSA support found-optimal edges,38
High MSA support edges not seen in found-optimal tours,22
High MSA support precision vs found-optimal edges [%],63.33
High MSA support recall vs found-optimal edges [%],38.00
High MSA support lift vs found-optimal edge density,62.700000
Cycle cover positive-MSA support edges,73
Cycle cover positive-MSA support edge density [%],0.74
Cycle cover positive-MSA support found-optimal edges,48
Cycle cover positive-MSA support edges not seen in found-optimal tours,25
Cycle cover positive-MSA support precision vs found-optimal edges [%],65.75
Cycle cover positive-MSA support recall vs found-optimal edges [%],48.00
Cycle cover positive-MSA support lift vs found-optimal edge density,65.095890
Cycle cover high-MSA support edges,35
Cycle cover high-MSA support edge density [%],0.35
Cycle cover high-MSA support found-optimal edges,29
Cycle cover high-MSA support edges not seen in found-optimal tours,6
Cycle cover high-MSA support precision vs found-optimal edges [%],82.86
Cycle cover high-MSA support recall vs found-optimal edges [%],29.00
Cycle cover high-MSA support lift vs found-optimal edge density,82.028571
Cycle cover edges with positive MSA support,73
Cycle cover positive-MSA support share [%],73.00
Cycle cover edges with high MSA support,35
Cycle cover high-MSA support share [%],35.00
High-MSA support edges removed by cycle-cover gate,25
High-MSA support found-optimal edges removed by cycle-cover gate,9
High-MSA support precision gain from cycle-cover gate,0.195238
High-MSA support recall loss from cycle-cover gate,0.090000
Found-optimal edges in both cycle cover and high MSA support,29
Found-optimal edges in cycle cover but not high MSA support,29
Found-optimal edges in high MSA support but not cycle cover,9
Found-optimal edges in neither cycle cover nor high MSA support,33
