Metric,Value
Instance,crane100_2
Dimension,100
Unique found-optimal tours,1
Unique found-optimal edges,100
Raw MSA support found-optimal edge coverage [%],68.00
Threshold MSA support threshold,0.800000
Threshold MSA support edges,86
Threshold MSA support precision [%],54.65
Threshold MSA support recall [%],47.00
Threshold MSA support lift,54.104651
Top MSA support edges,99
Top MSA support precision [%],53.54
Top MSA support recall [%],53.00
Top MSA support lift,53.000000
Top MSA support avg tour coverage [%],53.00
Top MSA support best tour coverage [%],53.00
