Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,115,47.83,55.00,47.347826,54,74.07,40.00,73.333333,61,15,0.262480,0.150000,46.96,72.73
0.200000,113,48.67,55.00,48.185841,54,74.07,40.00,73.333333,59,15,0.254015,0.150000,47.79,72.73
0.300000,109,50.46,55.00,49.954128,53,75.47,40.00,74.716981,56,15,0.250130,0.150000,48.62,72.73
0.400000,102,52.94,54.00,52.411765,50,80.00,40.00,79.200000,52,14,0.270588,0.140000,49.02,74.07
0.500000,100,53.00,53.00,52.470000,49,79.59,39.00,78.795918,51,14,0.265918,0.140000,49.00,73.58
0.600000,98,54.08,53.00,53.540816,48,81.25,39.00,80.437500,50,14,0.271684,0.140000,48.98,73.58
0.700000,90,53.33,48.00,52.800000,45,80.00,36.00,79.200000,45,12,0.266667,0.120000,50.00,75.00
0.800000,86,54.65,47.00,54.104651,44,79.55,35.00,78.750000,42,12,0.248943,0.120000,51.16,74.47
0.900000,85,55.29,47.00,54.741176,44,79.55,35.00,78.750000,41,12,0.242513,0.120000,51.76,74.47
1.000000,60,63.33,38.00,62.700000,35,82.86,29.00,82.028571,25,9,0.195238,0.090000,58.33,76.32
