Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,115,1.16,47.83,55.00,47.347826,60
0.200000,113,1.14,48.67,55.00,48.185841,58
0.300000,109,1.10,50.46,55.00,49.954128,54
0.400000,102,1.03,52.94,54.00,52.411765,48
0.500000,100,1.01,53.00,53.00,52.470000,47
0.600000,98,0.99,54.08,53.00,53.540816,45
0.700000,90,0.91,53.33,48.00,52.800000,42
0.800000,86,0.87,54.65,47.00,54.104651,39
0.900000,85,0.86,55.29,47.00,54.741176,38
1.000000,60,0.61,63.33,38.00,62.700000,22
