Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover-msa-patching,1.00,2.00,0.80,0.60,5000,36,1624.58,4785,0,0.00,0,0.34,2.59,11.86,0.00
msa-heuristic,1.00,2.00,0.80,1.00,5000,66,1904.68,4813,0,0.00,0,0.78,3.50,11.35,0.00
cycle-cover,1.00,2.00,0.80,0.60,5000,58,810.40,4904,0,0.00,0,1.79,3.98,9.12,0.00
baseline,1.00,2.00,0.80,0.00,5000,80,1771.08,4996,0,0.00,0,0.56,4.86,11.91,0.00
