Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.30,22,1590,1147,1337.00,1554,1.71,2.53,3.23,0.00,459
1.00,5.00,0.80,0.05,0.25,0.40,28,1250,971,1081.90,1224,1.88,2.71,3.87,0.00,434
1.00,5.00,0.80,0.05,0.00,0.50,35,1000,850,925.20,990,2.14,2.72,4.03,0.00,443
1.00,5.00,0.80,0.05,0.25,0.80,56,625,261,540.60,609,1.44,2.77,4.21,0.00,414
1.00,5.00,0.80,0.05,0.00,0.10,7,5000,2664,4173.70,4989,1.79,2.87,4.00,0.00,587
1.00,5.00,0.80,0.05,0.25,0.20,14,2500,2099,2311.50,2462,1.54,2.87,4.23,0.00,490
1.00,5.00,0.80,0.05,0.25,0.60,42,833,607,736.20,814,2.12,2.88,3.83,0.00,417
1.00,5.00,0.80,0.05,0.00,0.80,56,625,260,504.60,603,2.14,2.88,3.82,0.00,412
1.00,5.00,0.80,0.05,0.00,0.20,14,2500,1583,2134.50,2464,1.48,2.90,4.25,0.00,487
1.00,5.00,0.80,0.05,0.00,0.40,28,1250,611,1084.50,1246,1.95,2.91,3.80,0.00,469
1.00,5.00,0.80,0.05,0.00,0.60,42,833,532,716.90,828,2.31,2.92,4.31,0.00,422
1.00,5.00,0.80,0.05,0.00,0.90,63,555,376,470.60,549,2.21,2.94,4.48,0.00,406
1.00,5.00,0.80,0.05,0.00,1.00,70,500,308,422.10,482,2.38,2.97,4.15,0.00,396
1.00,5.00,0.80,0.05,0.25,1.00,70,500,221,422.10,497,2.35,3.06,3.99,0.00,406
1.00,5.00,0.80,0.05,0.25,0.30,22,1590,661,1429.30,1588,1.91,3.07,4.62,0.00,455
1.00,5.00,0.80,0.05,0.25,0.90,63,555,410,482.10,531,1.84,3.08,4.51,0.00,421
1.00,5.00,0.80,0.05,0.25,0.50,35,1000,684,863.60,974,2.29,3.10,4.14,0.00,424
1.00,5.00,0.80,0.05,0.25,0.70,49,714,301,633.60,711,1.38,3.13,4.62,0.00,413
1.00,5.00,0.80,0.05,0.00,0.70,49,714,365,603.80,708,1.96,3.14,4.31,0.00,412
1.00,5.00,0.80,0.05,0.25,0.10,7,5000,2506,4397.90,4919,2.47,3.19,4.20,0.00,593
1.00,5.00,0.80,0.05,0.50,0.90,63,555,481,527.00,552,2.34,3.28,4.31,0.00,418
1.00,5.00,0.80,0.05,0.50,0.70,49,714,485,644.00,709,2.69,3.32,4.08,0.00,424
1.00,5.00,0.80,0.05,0.50,0.80,56,625,471,589.40,621,2.16,3.32,3.87,0.00,430
1.00,5.00,0.80,0.05,0.50,0.40,28,1250,1046,1143.70,1244,2.69,3.33,4.00,0.00,440
1.00,5.00,0.80,0.05,0.50,0.10,7,5000,3848,4664.40,4944,2.61,3.34,5.09,0.00,581
1.00,5.00,0.80,0.05,0.50,0.30,22,1590,1446,1526.40,1582,2.64,3.37,3.86,0.00,451
