Metric,Value
Instance,ft70
Dimension,70
Unique found-optimal tours,1
Unique found-optimal edges,70
Found-optimal edge density [%],1.45
Cycle cover cost,37978.000000
Cycle cover gap to known optimum [%],1.80
Cycle cover cycles,10
Cycle cover min cycle length,2
Cycle cover avg cycle length,7.000000
Cycle cover max cycle length,22
Cycle cover edges,70
Cycle cover edge density [%],1.45
Cycle cover found-optimal edges,46
Cycle cover edges not seen in found-optimal tours,24
Cycle cover precision vs found-optimal edges [%],65.71
Cycle cover recall vs found-optimal edges [%],65.71
Cycle cover lift vs found-optimal edge density,45.342857
High MSA support threshold,1.000000
High MSA support edges,52
High MSA support edge density [%],1.08
High MSA support found-optimal edges,27
High MSA support edges not seen in found-optimal tours,25
High MSA support precision vs found-optimal edges [%],51.92
High MSA support recall vs found-optimal edges [%],38.57
High MSA support lift vs found-optimal edge density,35.826923
Cycle cover positive-MSA support edges,39
Cycle cover positive-MSA support edge density [%],0.81
Cycle cover positive-MSA support found-optimal edges,33
Cycle cover positive-MSA support edges not seen in found-optimal tours,6
Cycle cover positive-MSA support precision vs found-optimal edges [%],84.62
Cycle cover positive-MSA support recall vs found-optimal edges [%],47.14
Cycle cover positive-MSA support lift vs found-optimal edge density,58.384615
Cycle cover high-MSA support edges,27
Cycle cover high-MSA support edge density [%],0.56
Cycle cover high-MSA support found-optimal edges,26
Cycle cover high-MSA support edges not seen in found-optimal tours,1
Cycle cover high-MSA support precision vs found-optimal edges [%],96.30
Cycle cover high-MSA support recall vs found-optimal edges [%],37.14
Cycle cover high-MSA support lift vs found-optimal edge density,66.444444
Cycle cover edges with positive MSA support,39
Cycle cover positive-MSA support share [%],55.71
Cycle cover edges with high MSA support,27
Cycle cover high-MSA support share [%],38.57
High-MSA support edges removed by cycle-cover gate,25
High-MSA support found-optimal edges removed by cycle-cover gate,1
High-MSA support precision gain from cycle-cover gate,0.443732
High-MSA support recall loss from cycle-cover gate,0.014286
Found-optimal edges in both cycle cover and high MSA support,26
Found-optimal edges in cycle cover but not high MSA support,20
Found-optimal edges in high MSA support but not cycle cover,1
Found-optimal edges in neither cycle cover nor high MSA support,23
