Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,75,46.67,50.00,32.200000,36,86.11,44.29,59.416667,39,4,0.394444,0.057143,48.00,88.57
0.200000,73,46.58,48.57,32.136986,35,85.71,42.86,59.142857,38,4,0.391389,0.057143,47.95,88.24
0.300000,71,46.48,47.14,32.070423,35,85.71,42.86,59.142857,36,3,0.392354,0.042857,49.30,90.91
0.400000,69,46.38,45.71,32.000000,35,85.71,42.86,59.142857,34,2,0.393375,0.028571,50.72,93.75
0.500000,69,46.38,45.71,32.000000,35,85.71,42.86,59.142857,34,2,0.393375,0.028571,50.72,93.75
0.600000,68,47.06,45.71,32.470588,35,85.71,42.86,59.142857,33,2,0.386555,0.028571,51.47,93.75
0.700000,66,48.48,45.71,33.454545,35,85.71,42.86,59.142857,31,2,0.372294,0.028571,53.03,93.75
0.800000,66,48.48,45.71,33.454545,35,85.71,42.86,59.142857,31,2,0.372294,0.028571,53.03,93.75
0.900000,64,48.44,44.29,33.421875,34,88.24,42.86,60.882353,30,1,0.397978,0.014286,53.12,96.77
1.000000,52,51.92,38.57,35.826923,27,96.30,37.14,66.444444,25,1,0.443732,0.014286,51.92,96.30
