Metric,Value
Instance,ft70
Dimension,70
Unique found-optimal tours,1
Unique found-optimal edges,70
Raw MSA support found-optimal edge coverage [%],58.57
Threshold MSA support threshold,0.800000
Threshold MSA support edges,66
Threshold MSA support precision [%],48.48
Threshold MSA support recall [%],45.71
Threshold MSA support lift,33.454545
Top MSA support edges,69
Top MSA support precision [%],46.38
Top MSA support recall [%],45.71
Top MSA support lift,32.000000
Top MSA support avg tour coverage [%],45.71
Top MSA support best tour coverage [%],45.71
