Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,112,42.86,48.00,42.428571,52,57.69,30.00,57.115385,60,18,0.148352,0.180000,46.43,62.50
0.200000,103,42.72,44.00,42.291262,48,56.25,27.00,55.687500,55,17,0.135316,0.170000,46.60,61.36
0.300000,102,43.14,44.00,42.705882,47,57.45,27.00,56.872340,55,17,0.143096,0.170000,46.08,61.36
0.400000,100,43.00,43.00,42.570000,46,58.70,27.00,58.108696,54,16,0.156957,0.160000,46.00,62.79
0.500000,100,43.00,43.00,42.570000,46,58.70,27.00,58.108696,54,16,0.156957,0.160000,46.00,62.79
0.600000,100,43.00,43.00,42.570000,46,58.70,27.00,58.108696,54,16,0.156957,0.160000,46.00,62.79
0.700000,97,43.30,42.00,42.865979,45,60.00,27.00,59.400000,52,15,0.167010,0.150000,46.39,64.29
0.800000,95,44.21,42.00,43.768421,45,60.00,27.00,59.400000,50,15,0.157895,0.150000,47.37,64.29
0.900000,87,45.98,40.00,45.517241,45,60.00,27.00,59.400000,42,13,0.140230,0.130000,51.72,67.50
1.000000,56,53.57,30.00,53.035714,39,64.10,25.00,63.461538,17,5,0.105311,0.050000,69.64,83.33
