Metric,Value
Instance,crane100_0
Dimension,100
Unique found-optimal tours,1
Unique found-optimal edges,100
Found-optimal edge density [%],1.01
Cycle cover cost,7112879.000000
Cycle cover gap to known optimum [%],8.55
Cycle cover cycles,22
Cycle cover min cycle length,2
Cycle cover avg cycle length,4.545455
Cycle cover max cycle length,26
Cycle cover edges,100
Cycle cover edge density [%],1.01
Cycle cover found-optimal edges,53
Cycle cover edges not seen in found-optimal tours,47
Cycle cover precision vs found-optimal edges [%],53.00
Cycle cover recall vs found-optimal edges [%],53.00
Cycle cover lift vs found-optimal edge density,52.470000
High MSA support threshold,1.000000
High MSA support edges,56
High MSA support edge density [%],0.57
High MSA support found-optimal edges,30
High MSA support edges not seen in found-optimal tours,26
High MSA support precision vs found-optimal edges [%],53.57
High MSA support recall vs found-optimal edges [%],30.00
High MSA support lift vs found-optimal edge density,53.035714
Cycle cover positive-MSA support edges,76
Cycle cover positive-MSA support edge density [%],0.77
Cycle cover positive-MSA support found-optimal edges,41
Cycle cover positive-MSA support edges not seen in found-optimal tours,35
Cycle cover positive-MSA support precision vs found-optimal edges [%],53.95
Cycle cover positive-MSA support recall vs found-optimal edges [%],41.00
Cycle cover positive-MSA support lift vs found-optimal edge density,53.407895
Cycle cover high-MSA support edges,39
Cycle cover high-MSA support edge density [%],0.39
Cycle cover high-MSA support found-optimal edges,25
Cycle cover high-MSA support edges not seen in found-optimal tours,14
Cycle cover high-MSA support precision vs found-optimal edges [%],64.10
Cycle cover high-MSA support recall vs found-optimal edges [%],25.00
Cycle cover high-MSA support lift vs found-optimal edge density,63.461538
Cycle cover edges with positive MSA support,76
Cycle cover positive-MSA support share [%],76.00
Cycle cover edges with high MSA support,39
Cycle cover high-MSA support share [%],39.00
High-MSA support edges removed by cycle-cover gate,17
High-MSA support found-optimal edges removed by cycle-cover gate,5
High-MSA support precision gain from cycle-cover gate,0.105311
High-MSA support recall loss from cycle-cover gate,0.050000
Found-optimal edges in both cycle cover and high MSA support,25
Found-optimal edges in cycle cover but not high MSA support,28
Found-optimal edges in high MSA support but not cycle cover,5
Found-optimal edges in neither cycle cover nor high MSA support,42
