Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,101,2730,1596,2383.77,2723,0,0.00,0,1.39,3.65,9.31,0.00
1.00,2.00,0.80,0.10,101,2730,866,2141.43,2681,0,0.00,0,0.63,3.84,8.99,0.00
1.00,2.00,0.80,0.20,101,2730,1102,2203.97,2690,0,0.00,0,1.14,3.88,7.85,0.00
1.00,2.00,0.80,0.10,102,2730,552,1737.57,2658,0,0.00,0,0.89,4.35,14.31,0.00
1.00,2.00,0.80,0.30,103,2730,1591,2401.33,2726,0,0.00,0,1.39,4.52,10.64,0.00
1.00,2.00,0.80,0.40,101,2730,1592,2384.30,2720,0,0.00,0,1.39,4.83,9.31,0.00
1.00,2.00,0.80,0.20,102,2730,1545,2268.33,2727,0,0.00,0,1.14,4.93,15.01,0.00
1.00,2.00,0.80,0.50,101,2730,1888,2501.30,2728,0,0.00,0,1.71,5.22,9.94,0.00
1.00,2.00,0.80,0.20,103,2730,1117,2151.47,2695,0,0.00,0,1.33,5.24,16.97,0.00
1.00,2.00,0.80,0.30,102,2730,1617,2270.80,2684,0,0.00,0,2.85,5.34,14.82,0.00
1.00,2.00,0.80,0.50,103,2730,2286,2596.90,2727,0,0.00,0,2.34,5.49,16.47,0.00
1.00,2.00,0.80,0.10,103,2730,312,2013.73,2649,0,0.00,0,1.20,5.62,15.45,0.00
1.00,2.00,0.80,0.70,101,2730,2354,2584.93,2729,0,0.00,0,1.84,5.65,12.79,0.00
1.00,2.00,0.80,0.40,103,2730,2297,2541.60,2720,0,0.00,0,1.65,5.82,13.81,0.00
1.00,2.00,0.80,0.60,101,2730,2079,2539.97,2727,0,0.00,0,1.84,5.87,11.40,0.00
1.00,2.00,0.80,0.50,102,2730,1594,2492.03,2717,0,0.00,0,3.17,5.91,17.04,0.00
1.00,2.00,0.80,0.60,103,2730,2244,2583.67,2723,0,0.00,0,1.46,6.18,13.24,0.00
1.00,2.00,0.80,0.40,102,2730,1911,2438.90,2715,0,0.00,0,2.15,6.53,15.39,0.00
1.00,2.00,0.80,0.80,101,2730,2360,2627.37,2729,0,0.00,0,2.98,7.09,14.06,0.00
1.00,2.00,0.80,0.80,102,2730,2020,2581.60,2725,0,0.00,0,2.85,7.19,17.42,0.00
1.00,2.00,0.80,1.00,101,2730,2407,2616.27,2729,0,0.00,0,1.58,7.30,15.33,0.00
1.00,2.00,0.80,0.70,102,2730,1829,2576.07,2729,0,0.00,0,2.60,7.39,16.91,0.00
1.00,2.00,0.80,0.60,102,2730,2128,2552.13,2722,0,0.00,0,1.39,7.78,17.99,0.00
1.00,2.00,0.80,0.90,101,2730,2203,2606.37,2727,0,0.00,0,2.91,8.07,18.49,0.00
1.00,2.00,0.80,0.90,103,2730,2399,2666.13,2729,0,0.00,0,1.65,8.10,21.28,0.00
1.00,2.00,0.80,0.90,102,2730,1944,2593.80,2729,0,0.00,0,1.96,8.19,16.15,0.00
1.00,2.00,0.80,0.70,103,2730,2112,2589.30,2728,0,0.00,0,3.04,8.33,19.76,0.00
1.00,2.00,0.80,1.00,103,2730,2518,2662.40,2728,0,0.00,0,2.22,8.60,16.02,0.00
1.00,2.00,0.80,0.80,103,2730,2294,2605.57,2728,0,0.00,0,3.29,9.40,19.25,0.00
1.00,2.00,0.80,1.00,102,2730,1957,2616.90,2728,0,0.00,0,1.90,10.19,20.33,0.00
