Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
msa-heuristic,1.00,2.00,0.80,0.70,100,14,35.22,74,3602,375602.00,11216,0.00,0.08,0.13,40.00
baseline,1.00,2.00,0.80,0.00,100,6,46.24,97,2166,422071.00,11772,0.00,0.11,1.18,44.00
cycle-cover,1.00,2.00,0.80,0.60,100,13,33.76,89,5517,388793.00,8771,0.00,0.14,0.39,2.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.30,100,15,45.18,88,3804,390003.00,8949,0.00,0.16,0.39,12.00
