Metric,Value
Instance,crane66_2
Dimension,66
Unique found-optimal tours,1
Unique found-optimal edges,66
Found-optimal edge density [%],1.54
Cycle cover cost,5783848.000000
Cycle cover gap to known optimum [%],9.55
Cycle cover cycles,22
Cycle cover min cycle length,2
Cycle cover avg cycle length,3.000000
Cycle cover max cycle length,7
Cycle cover edges,66
Cycle cover edge density [%],1.54
Cycle cover found-optimal edges,32
Cycle cover edges not seen in found-optimal tours,34
Cycle cover precision vs found-optimal edges [%],48.48
Cycle cover recall vs found-optimal edges [%],48.48
Cycle cover lift vs found-optimal edge density,31.515152
High MSA support threshold,1.000000
High MSA support edges,38
High MSA support edge density [%],0.89
High MSA support found-optimal edges,28
High MSA support edges not seen in found-optimal tours,10
High MSA support precision vs found-optimal edges [%],73.68
High MSA support recall vs found-optimal edges [%],42.42
High MSA support lift vs found-optimal edge density,47.894737
Cycle cover positive-MSA support edges,47
Cycle cover positive-MSA support edge density [%],1.10
Cycle cover positive-MSA support found-optimal edges,29
Cycle cover positive-MSA support edges not seen in found-optimal tours,18
Cycle cover positive-MSA support precision vs found-optimal edges [%],61.70
Cycle cover positive-MSA support recall vs found-optimal edges [%],43.94
Cycle cover positive-MSA support lift vs found-optimal edge density,40.106383
Cycle cover high-MSA support edges,23
Cycle cover high-MSA support edge density [%],0.54
Cycle cover high-MSA support found-optimal edges,19
Cycle cover high-MSA support edges not seen in found-optimal tours,4
Cycle cover high-MSA support precision vs found-optimal edges [%],82.61
Cycle cover high-MSA support recall vs found-optimal edges [%],28.79
Cycle cover high-MSA support lift vs found-optimal edge density,53.695652
Cycle cover edges with positive MSA support,47
Cycle cover positive-MSA support share [%],71.21
Cycle cover edges with high MSA support,23
Cycle cover high-MSA support share [%],34.85
High-MSA support edges removed by cycle-cover gate,15
High-MSA support found-optimal edges removed by cycle-cover gate,9
High-MSA support precision gain from cycle-cover gate,0.089245
High-MSA support recall loss from cycle-cover gate,0.136364
Found-optimal edges in both cycle cover and high MSA support,19
Found-optimal edges in cycle cover but not high MSA support,13
Found-optimal edges in high MSA support but not cycle cover,9
Found-optimal edges in neither cycle cover nor high MSA support,25
