From,To,Distance,MSA support,Normalized MSA support,High MSA support,Found-optimal edge
0,23,55040.000000,0.000000,0.000000,false,true
1,54,78917.000000,52.000000,0.800000,false,true
2,34,42717.000000,62.000000,0.953846,false,false
3,60,75459.000000,54.000000,0.830769,false,true
4,61,60005.000000,65.000000,1.000000,true,false
5,1,65348.000000,0.000000,0.000000,false,false
6,24,81836.000000,0.000000,0.000000,false,false
7,20,140425.000000,0.000000,0.000000,false,true
8,31,51424.000000,20.000000,0.307692,false,false
9,64,41112.000000,65.000000,1.000000,true,false
10,30,129862.000000,38.000000,0.584615,false,false
11,59,45836.000000,65.000000,1.000000,true,true
12,56,113681.000000,9.000000,0.138462,false,false
13,47,70011.000000,65.000000,1.000000,true,true
14,11,232903.000000,0.000000,0.000000,false,false
15,6,34219.000000,65.000000,1.000000,true,true
16,52,100441.000000,65.000000,1.000000,true,true
17,49,70261.000000,0.000000,0.000000,false,false
18,45,149297.000000,1.000000,0.015385,false,false
19,41,47314.000000,1.000000,0.015385,false,false
20,57,44248.000000,65.000000,1.000000,true,true
21,37,66675.000000,56.000000,0.861538,false,true
22,35,201106.000000,3.000000,0.046154,false,true
23,14,59920.000000,65.000000,1.000000,true,true
24,15,254841.000000,1.000000,0.015385,false,true
25,50,78190.000000,1.000000,0.015385,false,true
26,51,84980.000000,0.000000,0.000000,false,true
27,3,85979.000000,0.000000,0.000000,false,false
28,38,75302.000000,53.000000,0.815385,false,true
29,26,50945.000000,59.000000,0.907692,false,true
30,10,194907.000000,0.000000,0.000000,false,false
31,8,99416.000000,46.000000,0.707692,false,false
32,25,38740.000000,65.000000,1.000000,true,true
33,42,57102.000000,1.000000,0.015385,false,false
34,2,42737.000000,4.000000,0.061538,false,true
35,48,38119.000000,65.000000,1.000000,true,true
36,39,48557.000000,65.000000,1.000000,true,true
37,5,62087.000000,65.000000,1.000000,true,false
38,65,53999.000000,65.000000,1.000000,true,false
39,36,79678.000000,1.000000,0.015385,false,false
40,58,91498.000000,5.000000,0.076923,false,false
41,19,39675.000000,65.000000,1.000000,true,true
42,62,11250.000000,65.000000,1.000000,true,true
43,16,34331.000000,65.000000,1.000000,true,true
44,18,57078.000000,65.000000,1.000000,true,true
45,44,62444.000000,65.000000,1.000000,true,true
46,53,139561.000000,1.000000,0.015385,false,false
47,13,135296.000000,0.000000,0.000000,false,false
48,22,188019.000000,0.000000,0.000000,false,false
49,17,28603.000000,65.000000,1.000000,true,true
50,32,125971.000000,0.000000,0.000000,false,false
51,9,116445.000000,1.000000,0.015385,false,false
52,43,242875.000000,0.000000,0.000000,false,false
53,46,65555.000000,65.000000,1.000000,true,true
54,21,126884.000000,14.000000,0.215385,false,false
55,40,38568.000000,0.000000,0.000000,false,false
56,12,154144.000000,65.000000,1.000000,true,true
57,63,57868.000000,0.000000,0.000000,false,false
58,55,63488.000000,0.000000,0.000000,false,false
59,0,116338.000000,2.000000,0.030769,false,false
60,27,36030.000000,65.000000,1.000000,true,true
61,29,144885.000000,0.000000,0.000000,false,false
62,33,15913.000000,65.000000,1.000000,true,true
63,7,144989.000000,0.000000,0.000000,false,false
64,4,88899.000000,0.000000,0.000000,false,false
65,28,53605.000000,14.000000,0.215385,false,true
