Metric,Value
Instance,crane66_2
Dimension,66
Unique found-optimal tours,1
Unique found-optimal edges,66
Raw MSA support found-optimal edge coverage [%],74.24
Threshold MSA support threshold,0.800000
Threshold MSA support edges,60
Threshold MSA support precision [%],61.67
Threshold MSA support recall [%],56.06
Threshold MSA support lift,40.083333
Top MSA support edges,65
Top MSA support precision [%],56.92
Top MSA support recall [%],56.06
Top MSA support lift,37.000000
Top MSA support avg tour coverage [%],56.06
Top MSA support best tour coverage [%],56.06
