Metric,Value
Instance,crane66_0
Dimension,66
Unique found-optimal tours,1
Unique found-optimal edges,66
Found-optimal edge density [%],1.54
Cycle cover cost,5515456.000000
Cycle cover gap to known optimum [%],12.13
Cycle cover cycles,15
Cycle cover min cycle length,2
Cycle cover avg cycle length,4.400000
Cycle cover max cycle length,18
Cycle cover edges,66
Cycle cover edge density [%],1.54
Cycle cover found-optimal edges,27
Cycle cover edges not seen in found-optimal tours,39
Cycle cover precision vs found-optimal edges [%],40.91
Cycle cover recall vs found-optimal edges [%],40.91
Cycle cover lift vs found-optimal edge density,26.590909
High MSA support threshold,1.000000
High MSA support edges,36
High MSA support edge density [%],0.84
High MSA support found-optimal edges,22
High MSA support edges not seen in found-optimal tours,14
High MSA support precision vs found-optimal edges [%],61.11
High MSA support recall vs found-optimal edges [%],33.33
High MSA support lift vs found-optimal edge density,39.722222
Cycle cover positive-MSA support edges,50
Cycle cover positive-MSA support edge density [%],1.17
Cycle cover positive-MSA support found-optimal edges,24
Cycle cover positive-MSA support edges not seen in found-optimal tours,26
Cycle cover positive-MSA support precision vs found-optimal edges [%],48.00
Cycle cover positive-MSA support recall vs found-optimal edges [%],36.36
Cycle cover positive-MSA support lift vs found-optimal edge density,31.200000
Cycle cover high-MSA support edges,21
Cycle cover high-MSA support edge density [%],0.49
Cycle cover high-MSA support found-optimal edges,14
Cycle cover high-MSA support edges not seen in found-optimal tours,7
Cycle cover high-MSA support precision vs found-optimal edges [%],66.67
Cycle cover high-MSA support recall vs found-optimal edges [%],21.21
Cycle cover high-MSA support lift vs found-optimal edge density,43.333333
Cycle cover edges with positive MSA support,50
Cycle cover positive-MSA support share [%],75.76
Cycle cover edges with high MSA support,21
Cycle cover high-MSA support share [%],31.82
High-MSA support edges removed by cycle-cover gate,15
High-MSA support found-optimal edges removed by cycle-cover gate,8
High-MSA support precision gain from cycle-cover gate,0.055556
High-MSA support recall loss from cycle-cover gate,0.121212
Found-optimal edges in both cycle cover and high MSA support,14
Found-optimal edges in cycle cover but not high MSA support,13
Found-optimal edges in high MSA support but not cycle cover,8
Found-optimal edges in neither cycle cover nor high MSA support,31
