Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,81,1.89,41.98,51.52,27.283951,47
0.200000,73,1.70,45.21,50.00,29.383562,40
0.300000,70,1.63,45.71,48.48,29.714286,38
0.400000,70,1.63,45.71,48.48,29.714286,38
0.500000,66,1.54,46.97,46.97,30.530303,35
0.600000,62,1.45,48.39,45.45,31.451613,32
0.700000,62,1.45,48.39,45.45,31.451613,32
0.800000,58,1.35,51.72,45.45,33.620690,28
0.900000,49,1.14,53.06,39.39,34.489796,23
1.000000,36,0.84,61.11,33.33,39.722222,14
