Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,81,41.98,51.52,27.283951,32,56.25,27.27,36.562500,49,16,0.142747,0.242424,39.51,52.94
0.200000,73,45.21,50.00,29.383562,29,62.07,27.27,40.344828,44,15,0.168635,0.227273,39.73,54.55
0.300000,70,45.71,48.48,29.714286,26,65.38,25.76,42.500000,44,15,0.196703,0.227273,37.14,53.12
0.400000,70,45.71,48.48,29.714286,26,65.38,25.76,42.500000,44,15,0.196703,0.227273,37.14,53.12
0.500000,66,46.97,46.97,30.530303,25,64.00,24.24,41.600000,41,15,0.170303,0.227273,37.88,51.61
0.600000,62,48.39,45.45,31.451613,24,62.50,22.73,40.625000,38,15,0.141129,0.227273,38.71,50.00
0.700000,62,48.39,45.45,31.451613,24,62.50,22.73,40.625000,38,15,0.141129,0.227273,38.71,50.00
0.800000,58,51.72,45.45,33.620690,24,62.50,22.73,40.625000,34,15,0.107759,0.227273,41.38,50.00
0.900000,49,53.06,39.39,34.489796,21,66.67,21.21,43.333333,28,12,0.136054,0.181818,42.86,53.85
1.000000,36,61.11,33.33,39.722222,21,66.67,21.21,43.333333,15,8,0.055556,0.121212,58.33,63.64
