Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,0.80,26,123,0,20.10,35,0.14,0.26,0.27,0.00,12
1.00,5.00,0.80,0.05,1.00,0.80,26,123,9,16.70,35,0.27,0.27,0.27,0.00,11
1.00,5.00,0.80,0.05,0.00,0.80,26,123,7,30.60,70,0.27,0.27,0.27,0.00,11
1.00,5.00,0.80,0.05,0.25,0.80,26,123,10,32.20,113,0.27,0.27,0.27,0.00,11
1.00,5.00,0.80,0.05,0.50,0.80,26,123,11,43.40,101,0.27,0.27,0.27,0.00,12
