Metric,Value
Instance,ftv150
Dimension,151
Unique found-optimal tours,149
Unique found-optimal edges,201
Found-optimal edge density [%],0.89
Cycle cover cost,2509.000000
Cycle cover gap to known optimum [%],3.91
Cycle cover cycles,16
Cycle cover min cycle length,2
Cycle cover avg cycle length,9.437500
Cycle cover max cycle length,82
Cycle cover edges,151
Cycle cover edge density [%],0.67
Cycle cover found-optimal edges,127
Cycle cover edges not seen in found-optimal tours,24
Cycle cover precision vs found-optimal edges [%],84.11
Cycle cover recall vs found-optimal edges [%],63.18
Cycle cover lift vs found-optimal edge density,94.776119
High MSA support threshold,1.000000
High MSA support edges,92
High MSA support edge density [%],0.41
High MSA support found-optimal edges,70
High MSA support edges not seen in found-optimal tours,22
High MSA support precision vs found-optimal edges [%],76.09
High MSA support recall vs found-optimal edges [%],34.83
High MSA support lift vs found-optimal edge density,85.739779
Cycle cover positive-MSA support edges,123
Cycle cover positive-MSA support edge density [%],0.54
Cycle cover positive-MSA support found-optimal edges,109
Cycle cover positive-MSA support edges not seen in found-optimal tours,14
Cycle cover positive-MSA support precision vs found-optimal edges [%],88.62
Cycle cover positive-MSA support recall vs found-optimal edges [%],54.23
Cycle cover positive-MSA support lift vs found-optimal edge density,99.860454
Cycle cover high-MSA support edges,66
Cycle cover high-MSA support edge density [%],0.29
Cycle cover high-MSA support found-optimal edges,61
Cycle cover high-MSA support edges not seen in found-optimal tours,5
Cycle cover high-MSA support precision vs found-optimal edges [%],92.42
Cycle cover high-MSA support recall vs found-optimal edges [%],30.35
Cycle cover high-MSA support lift vs found-optimal edge density,104.149706
Cycle cover edges with positive MSA support,123
Cycle cover positive-MSA support share [%],81.46
Cycle cover edges with high MSA support,66
Cycle cover high-MSA support share [%],43.71
High-MSA support edges removed by cycle-cover gate,26
High-MSA support found-optimal edges removed by cycle-cover gate,9
High-MSA support precision gain from cycle-cover gate,0.163373
High-MSA support recall loss from cycle-cover gate,0.044776
Found-optimal edges in both cycle cover and high MSA support,61
Found-optimal edges in cycle cover but not high MSA support,66
Found-optimal edges in high MSA support but not cycle cover,9
Found-optimal edges in neither cycle cover nor high MSA support,65
