Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,165,0.73,66.67,54.73,75.124378,55
0.200000,157,0.69,67.52,52.74,76.081377,51
0.300000,154,0.68,68.18,52.24,76.831750,49
0.400000,151,0.67,67.55,50.75,76.119403,49
0.500000,151,0.67,67.55,50.75,76.119403,49
0.600000,151,0.67,67.55,50.75,76.119403,49
0.700000,149,0.66,68.46,50.75,77.141140,47
0.800000,144,0.64,69.44,49.75,78.254561,44
0.900000,138,0.61,69.57,47.76,78.390655,42
1.000000,92,0.41,76.09,34.83,85.739779,22
