Metric,Value
Instance,ftv150
Dimension,151
Unique found-optimal tours,149
Unique found-optimal edges,201
Raw MSA support found-optimal edge coverage [%],66.17
Threshold MSA support threshold,0.800000
Threshold MSA support edges,144
Threshold MSA support precision [%],69.44
Threshold MSA support recall [%],49.75
Threshold MSA support lift,78.254561
Top MSA support edges,150
Top MSA support precision [%],68.00
Top MSA support recall [%],50.75
Top MSA support lift,76.626866
Top MSA support avg tour coverage [%],59.94
Top MSA support best tour coverage [%],62.25
