Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,165,66.67,54.73,75.124378,100,92.00,45.77,103.671642,65,18,0.253333,0.089552,60.61,83.64
0.200000,157,67.52,52.74,76.081377,97,92.78,44.78,104.554547,60,16,0.252676,0.079602,61.78,84.91
0.300000,154,68.18,52.24,76.831750,96,92.71,44.28,104.469838,58,16,0.245265,0.079602,62.34,84.76
0.400000,151,67.55,50.75,76.119403,94,92.55,43.28,104.295014,57,15,0.250035,0.074627,62.25,85.29
0.500000,151,67.55,50.75,76.119403,94,92.55,43.28,104.295014,57,15,0.250035,0.074627,62.25,85.29
0.600000,151,67.55,50.75,76.119403,94,92.55,43.28,104.295014,57,15,0.250035,0.074627,62.25,85.29
0.700000,149,68.46,50.75,77.141140,94,92.55,43.28,104.295014,55,15,0.240968,0.074627,63.09,85.29
0.800000,144,69.44,49.75,78.254561,92,92.39,42.29,104.112589,52,15,0.229469,0.074627,63.89,85.00
0.900000,138,69.57,47.76,78.390655,88,92.05,40.30,103.722863,50,15,0.224802,0.074627,63.77,84.38
1.000000,92,76.09,34.83,85.739779,66,92.42,30.35,104.149706,26,9,0.163373,0.044776,71.74,87.14
