Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover-msa-patching,1.00,2.00,0.80,0.90,3780,87,1011.98,3748,1604,99607.00,2329,0.46,0.58,0.64,0.00
cycle-cover,1.00,2.00,0.80,0.90,3780,191,1906.98,3540,250,47563.00,3766,0.51,1.15,1.82,0.00
baseline,1.00,2.00,0.80,0.00,3780,553,2713.96,3777,11,32208.00,4589,1.19,1.83,2.64,0.00
msa-heuristic,1.00,2.00,0.80,0.40,3780,1617,3079.28,3758,601,91476.00,3112,1.08,1.87,2.51,0.00
