Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover,1.00,2.00,0.80,0.60,5000,183,2711.16,4955,0,0.00,0,0.00,2.92,9.71,2.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.60,5000,167,2271.68,4867,0,0.00,0,0.00,3.60,10.12,2.00
msa-heuristic,1.00,2.00,0.80,1.00,5000,189,2454.62,4840,0,0.00,0,0.00,4.11,11.21,4.00
baseline,1.00,2.00,0.80,0.00,5000,470,2795.98,4970,0,0.00,0,0.56,4.22,10.90,0.00
