Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover-msa-patching,1.00,2.00,0.80,0.70,5000,907,3902.08,4967,0,0.00,0,0.34,0.69,1.21,0.00
cycle-cover,1.00,2.00,0.80,0.80,5000,489,4024.00,4982,0,0.00,0,0.35,0.73,2.09,0.00
msa-heuristic,1.00,2.00,0.80,0.90,5000,1834,4158.80,4975,0,0.00,0,0.39,0.82,1.99,0.00
baseline,1.00,2.00,0.80,0.00,5000,1994,4319.08,4990,0,0.00,0,0.47,0.94,2.77,0.00
