Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.80,5000,160,1947.90,4030,1336963,83225688.00,15034309,0.81,1.02,1.18,0.00,0
1.00,2.00,0.80,0.40,5000,753,2383.20,3788,1615512,78455467.00,14657667,0.89,1.05,1.22,0.00,0
1.00,2.00,0.80,0.60,5000,48,2143.70,4757,1755668,79531210.00,14533547,0.89,1.06,1.26,0.00,0
1.00,2.00,0.80,0.50,5000,32,2175.30,3952,1206406,78373036.00,14682154,0.85,1.07,1.30,0.00,0
1.00,2.00,0.80,0.10,5000,962,3177.80,4623,1333844,77134348.00,14116749,0.89,1.08,1.18,0.00,0
1.00,2.00,0.80,1.00,5000,442,2179.90,4052,1572985,83451793.00,15242063,0.89,1.09,1.22,0.00,0
1.00,2.00,0.80,0.70,5000,810,2197.60,3824,1491828,77985477.00,14548593,0.93,1.09,1.22,0.00,0
1.00,2.00,0.80,0.90,5000,1423,3042.80,4934,1362742,79858160.00,14837137,0.97,1.10,1.22,0.00,0
1.00,2.00,0.80,0.00,5000,361,2338.30,4781,1147358,78806173.00,14502679,0.93,1.10,1.22,0.00,0
1.00,2.00,0.80,0.20,5000,111,1615.70,3976,1530207,83510018.00,15528373,0.85,1.11,1.26,0.00,0
1.00,2.00,0.80,0.30,5000,85,2028.70,4824,1400674,83157507.00,15038866,1.01,1.14,1.34,0.00,0
