Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,101,100,65,86.68,99,0,0.00,0,0.73,7.03,13.68,0.00
1.00,2.00,0.80,0.40,102,100,50,86.12,99,0,0.00,0,0.90,7.14,13.23,0.00
1.00,2.00,0.80,0.40,103,100,29,87.34,99,0,0.00,0,3.49,7.94,14.02,0.00
