Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,221,0.72,0.00,0.00,0.000000,0
0.200000,188,0.61,0.00,0.00,0.000000,0
0.300000,188,0.61,0.00,0.00,0.000000,0
0.400000,174,0.56,0.00,0.00,0.000000,0
0.500000,174,0.56,0.00,0.00,0.000000,0
0.600000,173,0.56,0.00,0.00,0.000000,0
0.700000,160,0.52,0.00,0.00,0.000000,0
0.800000,160,0.52,0.00,0.00,0.000000,0
0.900000,129,0.42,0.00,0.00,0.000000,0
1.000000,122,0.40,0.00,0.00,0.000000,0
