Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,112,0.00,0.00,0.000000,3,0.00,0.00,0.000000,109,0,0.000000,0.000000,2.68,0.00
0.200000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.300000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.400000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.500000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.600000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.700000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.800000,110,0.00,0.00,0.000000,3,0.00,0.00,0.000000,107,0,0.000000,0.000000,2.73,0.00
0.900000,108,0.00,0.00,0.000000,3,0.00,0.00,0.000000,105,0,0.000000,0.000000,2.78,0.00
1.000000,107,0.00,0.00,0.000000,3,0.00,0.00,0.000000,104,0,0.000000,0.000000,2.80,0.00
