Metric,Value
Instance,dc112
Dimension,112
Unique found-optimal tours,0
Unique found-optimal edges,0
Found-optimal edge density [%],0.00
CMSA positive edges,221
CMSA positive density [%],1.78
High CMSA threshold,0.800000
High CMSA edges,110
High CMSA density [%],0.88
Found-optimal edge CMSA coverage [%],0.00
High-CMSA precision vs found-optimal edges [%],0.00
High-CMSA recall vs found-optimal edges [%],0.00
High-CMSA lift vs found-optimal edge density,0.000000
Avg normalized CMSA on found-optimal edges,0.000000
Median normalized CMSA on found-optimal edges,0.000000
Avg normalized CMSA on positive edges not seen in found-optimal tours,0.000000
Median normalized CMSA on positive edges not seen in found-optimal tours,0.000000
Missing found-optimal edges,0
High-CMSA edges not seen in found-optimal tours,0
