Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover-msa-patching,1.00,2.00,0.80,0.70,5000,182,1939.54,4732,0,0.00,0,0.17,2.51,4.14,0.00
msa-heuristic,1.00,2.00,0.80,0.90,5000,79,1789.36,4984,0,0.00,0,0.34,3.65,12.02,0.00
cycle-cover,1.00,2.00,0.80,0.80,5000,34,780.70,4117,0,0.00,0,2.91,4.23,10.96,0.00
baseline,1.00,2.00,0.80,0.00,5000,80,1771.08,4996,0,0.00,0,0.56,4.86,11.91,0.00
