Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,75,58.67,47.83,26.527536,41,85.37,38.04,38.600212,34,9,0.266992,0.097826,54.67,79.55
0.200000,72,58.33,45.65,26.376812,40,85.00,36.96,38.434783,32,8,0.266667,0.086957,55.56,80.95
0.300000,69,57.97,43.48,26.212980,38,84.21,34.78,38.077803,31,8,0.262395,0.086957,55.07,80.00
0.400000,67,58.21,42.39,26.320571,38,84.21,34.78,38.077803,29,7,0.260016,0.076087,56.72,82.05
0.500000,64,59.38,41.30,26.847826,37,83.78,33.70,37.884841,27,7,0.244088,0.076087,57.81,81.58
0.600000,62,61.29,41.30,27.713885,36,86.11,33.70,38.937198,26,7,0.248208,0.076087,58.06,81.58
0.700000,61,60.66,40.22,27.426942,35,85.71,32.61,38.757764,26,7,0.250585,0.076087,57.38,81.08
0.800000,58,62.07,39.13,28.065967,34,88.24,32.61,39.897698,24,6,0.261663,0.065217,58.62,83.33
0.900000,57,63.16,39.13,28.558352,34,88.24,32.61,39.897698,23,6,0.250774,0.065217,59.65,83.33
1.000000,38,76.32,31.52,34.508009,27,92.59,27.17,41.867955,11,4,0.162768,0.043478,71.05,86.21
