Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,0.50,33,984,536,865.20,983,0.16,1.38,3.15,0.00,364
1.00,5.00,0.80,0.05,0.00,1.00,65,500,47,246.30,459,0.00,1.56,6.47,10.00,326
1.00,5.00,0.80,0.05,1.00,1.00,65,500,280,400.40,487,0.60,1.64,3.59,0.00,342
1.00,5.00,0.80,0.05,0.25,0.80,52,625,87,355.90,616,0.00,1.67,3.86,20.00,325
1.00,5.00,0.80,0.05,0.00,0.60,39,833,63,387.90,686,0.00,1.69,7.12,10.00,320
1.00,5.00,0.80,0.05,0.00,0.90,59,550,98,278.90,524,0.60,1.76,5.82,0.00,334
1.00,5.00,0.80,0.05,0.75,0.30,20,1625,1109,1377.70,1615,0.16,1.76,4.35,0.00,386
1.00,5.00,0.80,0.05,0.75,0.70,46,706,379,534.00,667,0.00,1.86,4.35,20.00,341
1.00,5.00,0.80,0.05,0.00,0.30,20,1625,168,702.40,1415,0.92,1.88,4.46,0.00,382
1.00,5.00,0.80,0.05,0.00,0.10,7,4642,143,1881.60,3791,0.60,1.89,7.18,0.00,483
1.00,5.00,0.80,0.05,0.00,0.70,46,706,59,333.60,613,0.60,1.90,5.00,0.00,347
1.00,5.00,0.80,0.05,0.25,0.70,46,706,131,453.60,658,0.16,1.90,4.68,0.00,343
1.00,5.00,0.80,0.05,0.00,0.80,52,625,7,296.90,595,0.92,2.00,5.27,0.00,338
1.00,5.00,0.80,0.05,0.25,0.60,39,833,189,511.50,832,0.00,2.01,7.40,20.00,354
1.00,5.00,0.80,0.05,0.25,0.50,33,984,478,781.30,959,0.00,2.03,7.29,20.00,347
1.00,5.00,0.80,0.05,0.50,0.80,52,625,328,524.40,618,0.00,2.03,4.19,20.00,341
1.00,5.00,0.80,0.05,0.25,0.30,20,1625,731,1245.80,1604,0.60,2.16,7.29,0.00,373
1.00,5.00,0.80,0.05,1.00,0.70,46,706,436,616.30,700,1.03,2.18,4.95,0.00,348
1.00,5.00,0.80,0.05,0.25,0.40,26,1250,366,962.40,1246,0.00,2.19,5.33,20.00,346
1.00,5.00,0.80,0.05,0.00,0.20,13,2500,205,670.30,1688,0.82,2.23,8.65,0.00,424
1.00,5.00,0.80,0.05,0.25,0.90,59,550,104,338.70,547,0.00,2.29,4.73,10.00,336
1.00,5.00,0.80,0.05,0.75,1.00,65,500,236,387.60,480,0.16,2.34,4.57,0.00,343
1.00,5.00,0.80,0.05,0.00,0.40,26,1250,48,362.30,767,0.00,2.46,8.21,10.00,335
1.00,5.00,0.80,0.05,1.00,0.90,59,550,306,485.40,542,0.60,2.50,4.19,0.00,343
1.00,5.00,0.80,0.05,1.00,0.10,7,4642,3328,4030.00,4500,0.00,2.56,4.51,10.00,484
1.00,5.00,0.80,0.05,0.75,0.80,52,625,260,495.00,611,0.00,2.57,6.58,10.00,344
1.00,5.00,0.80,0.05,0.25,0.20,13,2500,436,1609.30,2454,0.00,2.57,5.49,10.00,402
1.00,5.00,0.80,0.05,1.00,0.60,39,833,367,713.30,806,0.60,2.57,6.04,0.00,353
1.00,5.00,0.80,0.05,0.50,1.00,65,500,156,399.50,496,0.00,2.58,4.84,10.00,342
1.00,5.00,0.80,0.05,1.00,0.20,13,2500,1437,1964.70,2453,0.98,2.60,4.35,0.00,414
1.00,5.00,0.80,0.05,1.00,0.80,52,625,261,522.30,609,0.00,2.69,4.51,10.00,339
1.00,5.00,0.80,0.05,0.50,0.60,39,833,76,530.70,751,0.00,2.71,4.95,10.00,378
