Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,75,1.80,58.67,47.83,26.527536,31
0.200000,72,1.73,58.33,45.65,26.376812,30
0.300000,69,1.66,57.97,43.48,26.212980,29
0.400000,67,1.61,58.21,42.39,26.320571,28
0.500000,64,1.54,59.38,41.30,26.847826,26
0.600000,62,1.49,61.29,41.30,27.713885,24
0.700000,61,1.47,60.66,40.22,27.426942,24
0.800000,58,1.39,62.07,39.13,28.065967,22
0.900000,57,1.37,63.16,39.13,28.558352,21
1.000000,38,0.91,76.32,31.52,34.508009,9
