Metric,Value
Instance,ftv64
Dimension,65
Unique found-optimal tours,119
Unique found-optimal edges,92
Found-optimal edge density [%],2.21
Cycle cover cost,1721.000000
Cycle cover gap to known optimum [%],6.42
Cycle cover cycles,13
Cycle cover min cycle length,2
Cycle cover avg cycle length,5.000000
Cycle cover max cycle length,26
Cycle cover edges,65
Cycle cover edge density [%],1.56
Cycle cover found-optimal edges,48
Cycle cover edges not seen in found-optimal tours,17
Cycle cover precision vs found-optimal edges [%],73.85
Cycle cover recall vs found-optimal edges [%],52.17
Cycle cover lift vs found-optimal edge density,33.391304
High MSA support threshold,1.000000
High MSA support edges,38
High MSA support edge density [%],0.91
High MSA support found-optimal edges,29
High MSA support edges not seen in found-optimal tours,9
High MSA support precision vs found-optimal edges [%],76.32
High MSA support recall vs found-optimal edges [%],31.52
High MSA support lift vs found-optimal edge density,34.508009
Cycle cover positive-MSA support edges,49
Cycle cover positive-MSA support edge density [%],1.18
Cycle cover positive-MSA support found-optimal edges,42
Cycle cover positive-MSA support edges not seen in found-optimal tours,7
Cycle cover positive-MSA support precision vs found-optimal edges [%],85.71
Cycle cover positive-MSA support recall vs found-optimal edges [%],45.65
Cycle cover positive-MSA support lift vs found-optimal edge density,38.757764
Cycle cover high-MSA support edges,27
Cycle cover high-MSA support edge density [%],0.65
Cycle cover high-MSA support found-optimal edges,25
Cycle cover high-MSA support edges not seen in found-optimal tours,2
Cycle cover high-MSA support precision vs found-optimal edges [%],92.59
Cycle cover high-MSA support recall vs found-optimal edges [%],27.17
Cycle cover high-MSA support lift vs found-optimal edge density,41.867955
Cycle cover edges with positive MSA support,49
Cycle cover positive-MSA support share [%],75.38
Cycle cover edges with high MSA support,27
Cycle cover high-MSA support share [%],41.54
High-MSA support edges removed by cycle-cover gate,11
High-MSA support found-optimal edges removed by cycle-cover gate,4
High-MSA support precision gain from cycle-cover gate,0.162768
High-MSA support recall loss from cycle-cover gate,0.043478
Found-optimal edges in both cycle cover and high MSA support,25
Found-optimal edges in cycle cover but not high MSA support,23
Found-optimal edges in high MSA support but not cycle cover,4
Found-optimal edges in neither cycle cover nor high MSA support,40
