Metric,Value
Instance,ftv64
Dimension,65
Unique found-optimal tours,119
Unique found-optimal edges,92
Raw MSA support found-optimal edge coverage [%],64.13
Threshold MSA support threshold,0.800000
Threshold MSA support edges,58
Threshold MSA support precision [%],62.07
Threshold MSA support recall [%],39.13
Threshold MSA support lift,28.065967
Top MSA support edges,64
Top MSA support precision [%],59.38
Top MSA support recall [%],41.30
Top MSA support lift,26.847826
Top MSA support avg tour coverage [%],49.54
Top MSA support best tour coverage [%],53.85
