Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,903,2979,21.91,0.00,23.13,106146
1.00,5.00,0.80,0.05,0.25,973,2946,21.71,0.00,24.13,109404
1.00,5.00,0.80,0.05,0.50,977,2957,22.09,0.00,24.63,109597
1.00,5.00,0.80,0.05,0.75,789,2962,22.43,0.00,24.38,107614
1.00,5.00,0.80,0.05,1.00,952,2966,22.49,0.00,24.13,110869
