Instance,Heuristic,Boostable edges,Tour edge target,Boosted edges,Boosted edge density [%],Boosted edges vs tour target [%]
dc134,msa-support-difference,17822,133,67,0.38,50.38
dc176,msa-support,30800,175,122,0.40,69.71
dc176,cycle-cover,30800,175,176,0.57,100.57
dc176,msa-support-overlap,30800,175,5,0.02,2.86
dc176,msa-support-difference,30800,175,117,0.38,66.86
dc188,msa-support,35156,187,183,0.52,97.86
dc188,cycle-cover,35156,187,188,0.53,100.53
dc188,msa-support-overlap,35156,187,4,0.01,2.14
dc188,msa-support-difference,35156,187,179,0.51,95.72
ft53,msa-support,2756,52,28,1.02,53.85
ft53,cycle-cover,2756,52,53,1.92,101.92
ft53,msa-support-overlap,2756,52,13,0.47,25.00
ft53,msa-support-difference,2756,52,15,0.54,28.85
ft70,msa-support,4830,69,52,1.08,75.36
ft70,cycle-cover,4830,69,70,1.45,101.45
ft70,msa-support-overlap,4830,69,27,0.56,39.13
ft70,msa-support-difference,4830,69,25,0.52,36.23
ftv100,msa-support,10100,100,58,0.57,58.00
ftv100,cycle-cover,10100,100,101,1.00,101.00
ftv100,msa-support-overlap,10100,100,43,0.43,43.00
ftv100,msa-support-difference,10100,100,15,0.15,15.00
ftv110,msa-support,12210,110,64,0.52,58.18
ftv110,cycle-cover,12210,110,111,0.91,100.91
ftv110,msa-support-overlap,12210,110,45,0.37,40.91
ftv110,msa-support-difference,12210,110,19,0.16,17.27
ftv120,msa-support,14520,120,73,0.50,60.83
ftv120,cycle-cover,14520,120,121,0.83,100.83
ftv120,msa-support-overlap,14520,120,52,0.36,43.33
ftv120,msa-support-difference,14520,120,21,0.14,17.50
ftv130,msa-support,17030,130,80,0.47,61.54
ftv130,cycle-cover,17030,130,131,0.77,100.77
ftv130,msa-support-overlap,17030,130,59,0.35,45.38
ftv130,msa-support-difference,17030,130,21,0.12,16.15
ftv140,msa-support,19740,140,85,0.43,60.71
ftv140,cycle-cover,19740,140,141,0.71,100.71
ftv140,msa-support-overlap,19740,140,63,0.32,45.00
ftv140,msa-support-difference,19740,140,22,0.11,15.71
ftv150,msa-support,22650,150,92,0.41,61.33
ftv150,cycle-cover,22650,150,151,0.67,100.67
ftv150,msa-support-overlap,22650,150,66,0.29,44.00
ftv150,msa-support-difference,22650,150,26,0.11,17.33
ftv160,msa-support,25760,160,94,0.36,58.75
ftv160,cycle-cover,25760,160,161,0.62,100.63
ftv160,msa-support-overlap,25760,160,70,0.27,43.75
ftv160,msa-support-difference,25760,160,24,0.09,15.00
ftv170,msa-support,29070,170,101,0.35,59.41
ftv170,cycle-cover,29070,170,171,0.59,100.59
ftv170,msa-support-overlap,29070,170,74,0.25,43.53
ftv170,msa-support-difference,29070,170,27,0.09,15.88
ftv55,msa-support,3080,55,30,0.97,54.55
ftv55,cycle-cover,3080,55,56,1.82,101.82
ftv55,msa-support-overlap,3080,55,23,0.75,41.82
ftv55,msa-support-difference,3080,55,7,0.23,12.73
ftv64,msa-support,4160,64,38,0.91,59.38
ftv64,cycle-cover,4160,64,65,1.56,101.56
ftv64,msa-support-overlap,4160,64,27,0.65,42.19
ftv64,msa-support-difference,4160,64,11,0.26,17.19
ftv70,msa-support,4970,70,42,0.85,60.00
ftv70,cycle-cover,4970,70,71,1.43,101.43
ftv70,msa-support-overlap,4970,70,32,0.64,45.71
ftv70,msa-support-difference,4970,70,10,0.20,14.29
ftv90,msa-support,8190,90,52,0.63,57.78
ftv90,cycle-cover,8190,90,91,1.11,101.11
ftv90,msa-support-overlap,8190,90,39,0.48,43.33
ftv90,msa-support-difference,8190,90,13,0.16,14.44
td100_1,msa-support,10100,100,82,0.81,82.00
td100_1,cycle-cover,10100,100,101,1.00,101.00
td100_1,msa-support-overlap,10100,100,25,0.25,25.00
td100_1,msa-support-difference,10100,100,57,0.56,57.00
