Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,58,1950,0.17,32.00,71.43,514
1.00,5.00,0.80,0.05,0.25,84,1950,0.13,54.00,74.29,507
1.00,5.00,0.80,0.05,0.50,175,1950,0.14,54.00,75.71,679
1.00,5.00,0.80,0.05,0.75,410,1950,0.16,56.00,72.86,803
1.00,5.00,0.80,0.05,1.00,486,1950,0.18,48.00,72.86,895
