Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,477,6905,0.37,22.00,71.15,529
1.00,5.00,0.80,0.05,0.25,450,6905,0.16,24.00,69.23,629
1.00,5.00,0.80,0.05,0.50,483,6905,0.17,10.00,69.23,726
1.00,5.00,0.80,0.05,0.75,428,6905,0.13,2.00,69.23,799
1.00,5.00,0.80,0.05,1.00,400,6905,0.21,4.00,67.31,823
