Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,552,3201,20.46,0.00,23.53,142241
1.00,5.00,0.80,0.05,0.25,932,3235,21.02,0.00,26.24,145897
1.00,5.00,0.80,0.05,0.50,963,3263,21.59,0.00,27.60,148931
1.00,5.00,0.80,0.05,0.75,979,3267,22.37,0.00,26.70,145161
1.00,5.00,0.80,0.05,1.00,871,3278,22.60,0.00,26.24,143921
