Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,34,1839,0.15,82.00,76.56,143
1.00,5.00,0.80,0.05,0.25,38,1839,0.00,100.00,76.56,71
1.00,5.00,0.80,0.05,0.50,37,1839,0.00,100.00,76.56,225
1.00,5.00,0.80,0.05,0.75,297,1839,0.00,100.00,78.12,408
1.00,5.00,0.80,0.05,1.00,394,1839,0.00,100.00,76.56,561
