Alpha,Beta,Evaporation,Q,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA
1.000000,3.000000,0.500000,0.750000,77,1499.000000,2.539036,0.000000,71.428571
1.000000,3.000000,0.500000,1.000000,72,1499.000000,3.258656,0.000000,68.571429
1.000000,3.000000,0.600000,0.000000,1,1761.000000,25.322471,0.000000,74.285714
1.000000,3.000000,0.600000,0.250000,61,1473.000000,2.437203,10.000000,71.428571
1.000000,3.000000,0.600000,0.500000,89,1489.000000,2.138493,0.000000,71.428571
1.000000,3.000000,0.600000,0.750000,44,1499.000000,2.613714,0.000000,71.428571
1.000000,3.000000,0.600000,1.000000,76,1499.000000,2.586558,0.000000,71.428571
1.000000,3.000000,0.700000,0.000000,81,1752.000000,24.243041,0.000000,57.142857
1.000000,3.000000,0.700000,0.250000,81,1499.000000,2.708758,0.000000,71.428571
1.000000,3.000000,0.700000,0.500000,26,1479.000000,2.634080,0.000000,71.428571
1.000000,3.000000,0.700000,0.750000,93,1499.000000,2.423625,0.000000,68.571429
1.000000,3.000000,0.700000,1.000000,86,1499.000000,2.844535,0.000000,71.428571
1.000000,3.000000,0.800000,0.000000,81,1806.000000,27.148676,0.000000,65.714286
1.000000,3.000000,0.800000,0.250000,21,1499.000000,2.545825,0.000000,74.285714
1.000000,3.000000,0.800000,0.500000,93,1499.000000,1.955193,0.000000,71.428571
1.000000,3.000000,0.800000,0.750000,75,1499.000000,2.892057,0.000000,68.571429
1.000000,3.000000,0.800000,1.000000,80,1494.000000,2.763069,0.000000,74.285714
1.000000,4.000000,0.500000,0.000000,7,1673.000000,16.707400,0.000000,51.428571
1.000000,4.000000,0.500000,0.250000,76,1499.000000,2.912424,0.000000,71.428571
1.000000,4.000000,0.500000,0.500000,22,1479.000000,2.267481,0.000000,68.571429
1.000000,4.000000,0.500000,0.750000,58,1479.000000,2.797013,0.000000,68.571429
1.000000,4.000000,0.500000,1.000000,93,1499.000000,2.905635,0.000000,68.571429
1.000000,4.000000,0.600000,0.000000,16,1590.000000,14.908350,0.000000,68.571429
1.000000,4.000000,0.600000,0.250000,27,1499.000000,2.987101,0.000000,71.428571
1.000000,4.000000,0.600000,0.500000,66,1499.000000,2.735913,0.000000,71.428571
1.000000,4.000000,0.600000,0.750000,9,1484.000000,3.027834,0.000000,68.571429
1.000000,4.000000,0.600000,1.000000,96,1499.000000,3.204345,0.000000,71.428571
1.000000,4.000000,0.700000,0.000000,45,1590.000000,14.473863,0.000000,62.857143
1.000000,4.000000,0.700000,0.250000,18,1499.000000,3.312967,0.000000,71.428571
1.000000,4.000000,0.700000,0.500000,54,1484.000000,3.048201,0.000000,68.571429
1.000000,4.000000,0.700000,0.750000,92,1491.000000,2.701969,0.000000,68.571429
1.000000,4.000000,0.700000,1.000000,89,1499.000000,2.959946,0.000000,71.428571
1.000000,4.000000,0.800000,0.000000,14,1670.000000,16.530889,0.000000,62.857143
1.000000,4.000000,0.800000,0.250000,81,1499.000000,2.966735,0.000000,71.428571
1.000000,4.000000,0.800000,0.500000,35,1499.000000,3.075356,0.000000,68.571429
1.000000,4.000000,0.800000,0.750000,56,1499.000000,2.878479,0.000000,71.428571
1.000000,4.000000,0.800000,1.000000,61,1499.000000,3.516633,0.000000,68.571429
1.000000,5.000000,0.500000,0.000000,75,1595.000000,12.050238,0.000000,68.571429
1.000000,5.000000,0.500000,0.250000,81,1502.000000,3.794976,0.000000,62.857143
1.000000,5.000000,0.500000,0.500000,43,1499.000000,3.272234,0.000000,68.571429
1.000000,5.000000,0.500000,0.750000,64,1499.000000,3.672777,0.000000,71.428571
1.000000,5.000000,0.500000,1.000000,86,1499.000000,3.408011,0.000000,71.428571
1.000000,5.000000,0.600000,0.000000,73,1603.000000,11.642906,0.000000,74.285714
1.000000,5.000000,0.600000,0.250000,20,1499.000000,3.408011,0.000000,74.285714
1.000000,5.000000,0.600000,0.500000,35,1499.000000,2.885268,0.000000,71.428571
1.000000,5.000000,0.600000,0.750000,36,1499.000000,3.183978,0.000000,71.428571
1.000000,5.000000,0.600000,1.000000,84,1499.000000,2.729124,0.000000,71.428571
1.000000,5.000000,0.700000,0.000000,43,1571.000000,10.882553,0.000000,62.857143
1.000000,5.000000,0.700000,0.250000,51,1499.000000,3.822132,0.000000,68.571429
1.000000,5.000000,0.700000,0.500000,62,1473.000000,3.299389,10.000000,71.428571
1.000000,5.000000,0.700000,0.750000,49,1503.000000,3.299389,0.000000,71.428571
1.000000,5.000000,0.700000,1.000000,44,1484.000000,2.661236,0.000000,65.714286
1.000000,5.000000,0.800000,0.000000,39,1552.000000,11.989138,0.000000,60.000000
1.000000,5.000000,0.800000,0.250000,19,1505.000000,4.324508,0.000000,71.428571
1.000000,5.000000,0.800000,0.500000,72,1503.000000,3.530210,0.000000,68.571429
1.000000,5.000000,0.800000,0.750000,34,1499.000000,3.163612,0.000000,71.428571
1.000000,5.000000,0.800000,1.000000,50,1484.000000,2.926001,0.000000,65.714286
1.250000,3.000000,0.500000,0.000000,60,1791.000000,26.286490,0.000000,45.714286
1.250000,3.000000,0.500000,0.250000,51,1499.000000,2.749491,0.000000,71.428571
1.250000,3.000000,0.500000,0.500000,94,1499.000000,2.348948,0.000000,68.571429
1.250000,3.000000,0.500000,0.750000,87,1499.000000,2.729124,0.000000,68.571429
