Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,275,2755,0.42,20.00,74.12,8331
1.00,5.00,0.80,0.05,0.25,386,2755,0.41,30.00,74.12,11107
1.00,5.00,0.80,0.05,0.50,687,2755,0.63,6.00,75.29,13907
1.00,5.00,0.80,0.05,0.75,758,2755,0.84,6.00,74.71,15323
1.00,5.00,0.80,0.05,1.00,881,2758,0.74,0.00,75.88,15879
