Alpha,Beta,Rho,pBest,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,583,1346,20.05,0.00,29.69,68563
1.00,5.00,0.80,0.05,0.25,464,1383,21.25,0.00,28.29,68113
1.00,5.00,0.80,0.05,0.50,963,1381,22.65,0.00,31.37,68197
1.00,5.00,0.80,0.05,0.75,978,1399,22.98,0.00,29.41,68244
1.00,5.00,0.80,0.05,1.00,988,1407,24.21,0.00,31.37,68232
