Metric,Value
Instance,ftv90
Dimension,91
Unique found-optimal tours,40
Unique found-optimal edges,113
Raw MSA support found-optimal edge coverage [%],68.14
Threshold MSA support threshold,0.800000
Threshold MSA support edges,87
Threshold MSA support precision [%],59.77
Threshold MSA support recall [%],46.02
Threshold MSA support lift,43.320110
Top MSA support edges,90
Top MSA support precision [%],58.89
Top MSA support recall [%],46.90
Top MSA support lift,42.681416
Top MSA support avg tour coverage [%],50.93
Top MSA support best tour coverage [%],53.85
