Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,99,58.59,51.33,42.461786,56,89.29,44.25,64.712389,43,8,0.306999,0.070796,56.57,86.21
0.200000,95,60.00,50.44,43.486726,56,89.29,44.25,64.712389,39,7,0.292857,0.061947,58.95,87.72
0.300000,92,58.70,47.79,42.541362,54,88.89,42.48,64.424779,38,6,0.301932,0.053097,58.70,88.89
0.400000,92,58.70,47.79,42.541362,54,88.89,42.48,64.424779,38,6,0.301932,0.053097,58.70,88.89
0.500000,91,59.34,47.79,43.008850,54,88.89,42.48,64.424779,37,6,0.295482,0.053097,59.34,88.89
0.600000,90,58.89,46.90,42.681416,53,88.68,41.59,64.272834,37,6,0.297904,0.053097,58.89,88.68
0.700000,90,58.89,46.90,42.681416,53,88.68,41.59,64.272834,37,6,0.297904,0.053097,58.89,88.68
0.800000,87,59.77,46.02,43.320110,52,88.46,40.71,64.115044,35,6,0.286914,0.053097,59.77,88.46
0.900000,82,59.76,43.36,43.309950,50,88.00,38.94,63.780531,32,5,0.282439,0.044248,60.98,89.80
1.000000,52,73.08,33.63,52.964602,39,89.74,30.97,65.044248,13,3,0.166667,0.026549,75.00,92.11
