Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,99,1.21,58.59,51.33,42.461786,41
0.200000,95,1.16,60.00,50.44,43.486726,38
0.300000,92,1.12,58.70,47.79,42.541362,38
0.400000,92,1.12,58.70,47.79,42.541362,38
0.500000,91,1.11,59.34,47.79,43.008850,37
0.600000,90,1.10,58.89,46.90,42.681416,37
0.700000,90,1.10,58.89,46.90,42.681416,37
0.800000,87,1.06,59.77,46.02,43.320110,35
0.900000,82,1.00,59.76,43.36,43.309950,33
1.000000,52,0.63,73.08,33.63,52.964602,14
