Metric,Value
Instance,ftv90
Dimension,91
Unique found-optimal tours,40
Unique found-optimal edges,113
Found-optimal edge density [%],1.38
Cycle cover cost,1479.000000
Cycle cover gap to known optimum [%],6.33
Cycle cover cycles,11
Cycle cover min cycle length,2
Cycle cover avg cycle length,8.272727
Cycle cover max cycle length,49
Cycle cover edges,91
Cycle cover edge density [%],1.11
Cycle cover found-optimal edges,75
Cycle cover edges not seen in found-optimal tours,16
Cycle cover precision vs found-optimal edges [%],82.42
Cycle cover recall vs found-optimal edges [%],66.37
Cycle cover lift vs found-optimal edge density,59.734513
High MSA support threshold,1.000000
High MSA support edges,52
High MSA support edge density [%],0.63
High MSA support found-optimal edges,38
High MSA support edges not seen in found-optimal tours,14
High MSA support precision vs found-optimal edges [%],73.08
High MSA support recall vs found-optimal edges [%],33.63
High MSA support lift vs found-optimal edge density,52.964602
Cycle cover positive-MSA support edges,74
Cycle cover positive-MSA support edge density [%],0.90
Cycle cover positive-MSA support found-optimal edges,64
Cycle cover positive-MSA support edges not seen in found-optimal tours,10
Cycle cover positive-MSA support precision vs found-optimal edges [%],86.49
Cycle cover positive-MSA support recall vs found-optimal edges [%],56.64
Cycle cover positive-MSA support lift vs found-optimal edge density,62.683569
Cycle cover high-MSA support edges,39
Cycle cover high-MSA support edge density [%],0.48
Cycle cover high-MSA support found-optimal edges,35
Cycle cover high-MSA support edges not seen in found-optimal tours,4
Cycle cover high-MSA support precision vs found-optimal edges [%],89.74
Cycle cover high-MSA support recall vs found-optimal edges [%],30.97
Cycle cover high-MSA support lift vs found-optimal edge density,65.044248
Cycle cover edges with positive MSA support,74
Cycle cover positive-MSA support share [%],81.32
Cycle cover edges with high MSA support,39
Cycle cover high-MSA support share [%],42.86
High-MSA support edges removed by cycle-cover gate,13
High-MSA support found-optimal edges removed by cycle-cover gate,3
High-MSA support precision gain from cycle-cover gate,0.166667
High-MSA support recall loss from cycle-cover gate,0.026549
Found-optimal edges in both cycle cover and high MSA support,35
Found-optimal edges in cycle cover but not high MSA support,40
Found-optimal edges in high MSA support but not cycle cover,3
Found-optimal edges in neither cycle cover nor high MSA support,35
