Metric,Value
Instance,ftv100
Dimension,101
Unique found-optimal tours,83
Unique found-optimal edges,135
Raw MSA support found-optimal edge coverage [%],65.19
Threshold MSA support threshold,0.800000
Threshold MSA support edges,97
Threshold MSA support precision [%],60.82
Threshold MSA support recall [%],43.70
Threshold MSA support lift,45.505918
Top MSA support edges,100
Top MSA support precision [%],60.00
Top MSA support recall [%],44.44
Top MSA support lift,44.888889
Top MSA support avg tour coverage [%],50.40
Top MSA support best tour coverage [%],53.47
