Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,109,1.08,61.47,49.63,45.987088,42
0.200000,105,1.04,60.95,47.41,45.601411,41
0.300000,105,1.04,60.95,47.41,45.601411,41
0.400000,102,1.01,59.80,45.19,44.742193,41
0.500000,101,1.00,60.40,45.19,45.185185,40
0.600000,101,1.00,60.40,45.19,45.185185,40
0.700000,97,0.96,60.82,43.70,45.505918,38
0.800000,97,0.96,60.82,43.70,45.505918,38
0.900000,92,0.91,63.04,42.96,47.165862,34
1.000000,58,0.57,74.14,31.85,55.466156,15
