Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,109,61.47,49.63,45.987088,63,90.48,42.22,67.689594,46,10,0.290083,0.074074,57.80,85.07
0.200000,105,60.95,47.41,45.601411,61,90.16,40.74,67.455981,44,9,0.292116,0.066667,58.10,85.94
0.300000,105,60.95,47.41,45.601411,61,90.16,40.74,67.455981,44,9,0.292116,0.066667,58.10,85.94
0.400000,102,59.80,45.19,44.742193,59,89.83,39.26,67.206529,43,8,0.300266,0.059259,57.84,86.89
0.500000,101,60.40,45.19,45.185185,59,89.83,39.26,67.206529,42,8,0.294345,0.059259,58.42,86.89
0.600000,101,60.40,45.19,45.185185,59,89.83,39.26,67.206529,42,8,0.294345,0.059259,58.42,86.89
0.700000,97,60.82,43.70,45.505918,57,89.47,37.78,66.939571,40,8,0.286489,0.059259,58.76,86.44
0.800000,97,60.82,43.70,45.505918,57,89.47,37.78,66.939571,40,8,0.286489,0.059259,58.76,86.44
0.900000,92,63.04,42.96,47.165862,56,89.29,37.04,66.798942,36,8,0.262422,0.059259,60.87,86.21
1.000000,58,74.14,31.85,55.466156,43,90.70,28.89,67.855297,15,4,0.165597,0.029630,74.14,90.70
