Metric,Value
Instance,ftv100
Dimension,101
Unique found-optimal tours,83
Unique found-optimal edges,135
Found-optimal edge density [%],1.34
Cycle cover cost,1670.000000
Cycle cover gap to known optimum [%],6.60
Cycle cover cycles,12
Cycle cover min cycle length,2
Cycle cover avg cycle length,8.416667
Cycle cover max cycle length,49
Cycle cover edges,101
Cycle cover edge density [%],1.00
Cycle cover found-optimal edges,87
Cycle cover edges not seen in found-optimal tours,14
Cycle cover precision vs found-optimal edges [%],86.14
Cycle cover recall vs found-optimal edges [%],64.44
Cycle cover lift vs found-optimal edge density,64.444444
High MSA support threshold,1.000000
High MSA support edges,58
High MSA support edge density [%],0.57
High MSA support found-optimal edges,43
High MSA support edges not seen in found-optimal tours,15
High MSA support precision vs found-optimal edges [%],74.14
High MSA support recall vs found-optimal edges [%],31.85
High MSA support lift vs found-optimal edge density,55.466156
Cycle cover positive-MSA support edges,81
Cycle cover positive-MSA support edge density [%],0.80
Cycle cover positive-MSA support found-optimal edges,73
Cycle cover positive-MSA support edges not seen in found-optimal tours,8
Cycle cover positive-MSA support precision vs found-optimal edges [%],90.12
Cycle cover positive-MSA support recall vs found-optimal edges [%],54.07
Cycle cover positive-MSA support lift vs found-optimal edge density,67.425697
Cycle cover high-MSA support edges,43
Cycle cover high-MSA support edge density [%],0.43
Cycle cover high-MSA support found-optimal edges,39
Cycle cover high-MSA support edges not seen in found-optimal tours,4
Cycle cover high-MSA support precision vs found-optimal edges [%],90.70
Cycle cover high-MSA support recall vs found-optimal edges [%],28.89
Cycle cover high-MSA support lift vs found-optimal edge density,67.855297
Cycle cover edges with positive MSA support,81
Cycle cover positive-MSA support share [%],80.20
Cycle cover edges with high MSA support,43
Cycle cover high-MSA support share [%],42.57
High-MSA support edges removed by cycle-cover gate,15
High-MSA support found-optimal edges removed by cycle-cover gate,4
High-MSA support precision gain from cycle-cover gate,0.165597
High-MSA support recall loss from cycle-cover gate,0.029630
Found-optimal edges in both cycle cover and high MSA support,39
Found-optimal edges in cycle cover but not high MSA support,48
Found-optimal edges in high MSA support but not cycle cover,4
Found-optimal edges in neither cycle cover nor high MSA support,44
