Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,0.70,26,138,47,83.20,128,0.00,0.47,1.56,70.00,10
1.00,5.00,0.80,0.05,0.50,0.50,18,200,41,119.70,170,0.00,0.64,2.65,50.00,11
1.00,5.00,0.80,0.05,0.25,0.40,15,240,50,136.40,229,0.00,0.66,1.97,60.00,11
1.00,5.00,0.80,0.05,0.25,0.30,11,327,13,169.40,310,0.00,0.66,1.77,50.00,13
1.00,5.00,0.80,0.05,0.25,0.60,22,163,55,100.50,159,0.00,0.67,1.83,40.00,12
1.00,5.00,0.80,0.05,0.50,0.80,29,124,52,78.10,123,0.00,0.71,1.77,50.00,13
1.00,5.00,0.80,0.05,0.50,0.10,4,900,414,641.20,864,0.00,0.78,2.65,60.00,19
1.00,5.00,0.80,0.05,0.25,0.80,29,124,29,57.30,92,0.00,0.84,2.65,50.00,11
1.00,5.00,0.80,0.05,0.75,0.10,4,900,325,609.90,766,0.00,0.88,5.30,60.00,17
1.00,5.00,0.80,0.05,0.25,0.50,18,200,10,117.80,186,0.00,0.91,1.97,30.00,13
1.00,5.00,0.80,0.05,1.00,0.40,15,240,149,206.20,236,0.00,0.94,2.65,50.00,15
1.00,5.00,0.80,0.05,0.75,0.40,15,240,124,179.40,235,0.00,0.99,2.65,40.00,14
1.00,5.00,0.80,0.05,0.50,0.90,33,109,18,64.50,97,0.00,1.00,1.83,40.00,12
1.00,5.00,0.80,0.05,0.25,0.20,8,450,15,202.80,361,0.00,1.03,2.72,20.00,16
1.00,5.00,0.80,0.05,1.00,0.80,29,124,85,106.70,123,0.00,1.11,3.60,40.00,14
1.00,5.00,0.80,0.05,0.25,0.10,4,900,346,538.50,856,0.00,1.13,2.65,20.00,21
1.00,5.00,0.80,0.05,0.75,0.80,29,124,52,75.20,93,0.00,1.14,3.12,40.00,13
1.00,5.00,0.80,0.05,0.75,1.00,36,100,36,76.10,95,0.00,1.15,3.33,40.00,13
1.00,5.00,0.80,0.05,0.50,0.60,22,163,36,91.90,162,0.00,1.17,4.68,50.00,12
1.00,5.00,0.80,0.05,0.50,0.20,8,450,120,273.10,390,0.00,1.17,3.12,40.00,15
1.00,5.00,0.80,0.05,1.00,0.90,33,109,46,76.40,103,0.00,1.20,2.65,40.00,13
1.00,5.00,0.80,0.05,0.50,0.30,11,327,121,209.90,321,0.00,1.25,3.94,40.00,13
1.00,5.00,0.80,0.05,0.50,1.00,36,100,23,66.00,98,0.00,1.26,2.58,30.00,14
1.00,5.00,0.80,0.05,1.00,0.10,4,900,315,640.50,891,0.00,1.28,5.36,50.00,18
1.00,5.00,0.80,0.05,0.75,0.60,22,163,81,115.70,142,0.00,1.31,4.21,40.00,13
1.00,5.00,0.80,0.05,0.25,1.00,36,100,23,61.00,95,0.00,1.33,6.86,20.00,14
1.00,5.00,0.80,0.05,0.25,0.90,33,109,13,56.80,101,0.00,1.35,5.16,40.00,12
1.00,5.00,0.80,0.05,0.00,0.80,29,124,21,40.80,61,0.00,1.48,3.05,10.00,14
1.00,5.00,0.80,0.05,1.00,0.70,26,138,68,109.40,133,0.00,1.49,4.48,30.00,14
1.00,5.00,0.80,0.05,0.50,0.70,26,138,26,86.20,137,0.00,1.56,7.40,40.00,12
1.00,5.00,0.80,0.05,1.00,0.50,18,200,161,180.00,198,0.00,1.58,4.28,30.00,15
1.00,5.00,0.80,0.05,1.00,0.20,8,450,192,317.90,409,0.00,1.62,4.07,30.00,16
1.00,5.00,0.80,0.05,1.00,1.00,36,100,50,77.80,94,0.00,1.63,4.41,30.00,13
1.00,5.00,0.80,0.05,0.00,0.10,4,900,108,309.30,839,0.41,1.72,3.05,0.00,22
1.00,5.00,0.80,0.05,0.75,0.90,33,109,54,85.40,104,0.00,1.74,6.25,40.00,13
1.00,5.00,0.80,0.05,0.75,0.20,8,450,137,293.80,390,0.00,1.77,5.23,40.00,15
1.00,5.00,0.80,0.05,1.00,0.30,11,327,153,258.60,317,0.00,1.78,5.02,30.00,16
1.00,5.00,0.80,0.05,1.00,0.60,22,163,104,140.60,160,0.00,1.81,4.21,40.00,14
1.00,5.00,0.80,0.05,0.00,0.20,8,450,70,167.50,407,0.41,1.89,4.62,0.00,18
1.00,5.00,0.80,0.05,0.00,0.70,26,138,14,68.90,126,1.15,2.03,5.97,0.00,15
1.00,5.00,0.80,0.05,0.25,0.70,26,138,25,74.70,134,0.00,2.10,7.54,40.00,12
1.00,5.00,0.80,0.05,0.75,0.30,11,327,76,241.70,326,0.00,2.10,5.50,10.00,15
1.00,5.00,0.80,0.05,0.50,0.40,15,240,63,154.30,236,0.00,2.15,8.89,40.00,13
