Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.80,5000,410,2750.20,4679,0,0.00,0,15.91,18.25,20.21,0.00,0
1.00,2.00,0.80,1.00,5000,180,1689.40,4191,0,0.00,0,15.99,18.30,19.98,0.00,0
1.00,2.00,0.80,0.60,5000,174,2140.60,4304,0,0.00,0,17.04,18.36,19.76,0.00,0
1.00,2.00,0.80,0.70,5000,66,1962.10,4703,0,0.00,0,15.99,18.48,21.34,0.00,0
1.00,2.00,0.80,0.50,5000,234,2380.40,4750,0,0.00,0,17.57,18.67,20.06,0.00,0
1.00,2.00,0.80,0.90,5000,55,2193.60,4314,0,0.00,0,15.91,18.79,20.66,0.00,0
1.00,2.00,0.80,0.40,5000,426,3362.50,4956,0,0.00,0,17.50,18.98,19.98,0.00,0
1.00,2.00,0.80,0.00,5000,1471,3498.20,4996,0,0.00,0,17.57,19.13,20.06,0.00,0
1.00,2.00,0.80,0.20,5000,1589,2954.40,4670,0,0.00,0,17.35,19.19,22.10,0.00,0
1.00,2.00,0.80,0.10,5000,102,2716.70,4908,0,0.00,0,17.72,19.44,22.85,0.00,0
1.00,2.00,0.80,0.30,5000,134,2548.30,4995,0,0.00,0,18.10,19.61,21.49,0.00,0
