Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,194,63.92,53.45,80.089762,118,88.14,44.83,110.435418,76,20,0.242181,0.086207,60.82,83.87
0.200000,184,63.59,50.43,79.675553,112,88.39,42.67,110.757774,72,18,0.248059,0.077586,60.87,84.62
0.300000,182,63.19,49.57,79.174166,111,88.29,42.24,110.626747,71,17,0.251015,0.073276,60.99,85.22
0.400000,175,64.00,48.28,80.193103,109,88.07,41.38,110.357482,66,16,0.240734,0.068966,62.29,85.71
0.500000,171,63.74,46.98,79.870690,107,87.85,40.52,110.078150,64,15,0.241078,0.064655,62.57,86.24
0.600000,166,64.46,46.12,80.766774,106,87.74,40.09,109.934532,60,14,0.232780,0.060345,63.86,86.92
0.700000,160,64.38,44.40,80.662985,102,87.25,38.36,109.331897,58,14,0.228799,0.060345,63.75,86.41
0.800000,157,65.61,44.40,82.204316,101,88.12,38.36,110.414391,56,14,0.225137,0.060345,64.33,86.41
0.900000,150,68.67,44.40,86.040517,100,89.00,38.36,111.518534,50,14,0.203333,0.060345,66.67,86.41
1.000000,101,76.24,33.19,95.527057,74,90.54,28.88,113.448858,27,10,0.143029,0.043103,73.27,87.01
