Metric,Value
Instance,ftv170
Dimension,171
Unique found-optimal tours,531
Unique found-optimal edges,232
Found-optimal edge density [%],0.80
Cycle cover cost,2631.000000
Cycle cover gap to known optimum [%],4.50
Cycle cover cycles,20
Cycle cover min cycle length,2
Cycle cover avg cycle length,8.550000
Cycle cover max cycle length,76
Cycle cover edges,171
Cycle cover edge density [%],0.59
Cycle cover found-optimal edges,141
Cycle cover edges not seen in found-optimal tours,30
Cycle cover precision vs found-optimal edges [%],82.46
Cycle cover recall vs found-optimal edges [%],60.78
Cycle cover lift vs found-optimal edge density,103.318966
High MSA support threshold,1.000000
High MSA support edges,101
High MSA support edge density [%],0.35
High MSA support found-optimal edges,77
High MSA support edges not seen in found-optimal tours,24
High MSA support precision vs found-optimal edges [%],76.24
High MSA support recall vs found-optimal edges [%],33.19
High MSA support lift vs found-optimal edge density,95.527057
Cycle cover positive-MSA support edges,140
Cycle cover positive-MSA support edge density [%],0.48
Cycle cover positive-MSA support found-optimal edges,122
Cycle cover positive-MSA support edges not seen in found-optimal tours,18
Cycle cover positive-MSA support precision vs found-optimal edges [%],87.14
Cycle cover positive-MSA support recall vs found-optimal edges [%],52.59
Cycle cover positive-MSA support lift vs found-optimal edge density,109.191502
Cycle cover high-MSA support edges,74
Cycle cover high-MSA support edge density [%],0.25
Cycle cover high-MSA support found-optimal edges,67
Cycle cover high-MSA support edges not seen in found-optimal tours,7
Cycle cover high-MSA support precision vs found-optimal edges [%],90.54
Cycle cover high-MSA support recall vs found-optimal edges [%],28.88
Cycle cover high-MSA support lift vs found-optimal edge density,113.448858
Cycle cover edges with positive MSA support,140
Cycle cover positive-MSA support share [%],81.87
Cycle cover edges with high MSA support,74
Cycle cover high-MSA support share [%],43.27
High-MSA support edges removed by cycle-cover gate,27
High-MSA support found-optimal edges removed by cycle-cover gate,10
High-MSA support precision gain from cycle-cover gate,0.143029
High-MSA support recall loss from cycle-cover gate,0.043103
Found-optimal edges in both cycle cover and high MSA support,67
Found-optimal edges in cycle cover but not high MSA support,74
Found-optimal edges in high MSA support but not cycle cover,10
Found-optimal edges in neither cycle cover nor high MSA support,81
