Metric,Value
Instance,ftv170
Dimension,171
Unique found-optimal tours,531
Unique found-optimal edges,232
Found-optimal edge density [%],0.80
CMSA positive edges,255
CMSA positive density [%],0.88
High CMSA threshold,0.800000
High CMSA edges,157
High CMSA density [%],0.54
Found-optimal edge CMSA coverage [%],65.95
High-CMSA precision vs found-optimal edges [%],65.61
High-CMSA recall vs found-optimal edges [%],44.40
High-CMSA lift vs found-optimal edge density,82.204316
Avg normalized CMSA on found-optimal edges,0.475862
Median normalized CMSA on found-optimal edges,0.261765
Avg normalized CMSA on positive edges not seen in found-optimal tours,0.594118
Median normalized CMSA on positive edges not seen in found-optimal tours,0.850000
Missing found-optimal edges,79
High-CMSA edges not seen in found-optimal tours,54
