Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,194,0.67,63.92,53.45,80.089762,70
0.200000,184,0.63,63.59,50.43,79.675553,67
0.300000,182,0.63,63.19,49.57,79.174166,67
0.400000,175,0.60,64.00,48.28,80.193103,63
0.500000,171,0.59,63.74,46.98,79.870690,62
0.600000,166,0.57,64.46,46.12,80.766774,59
0.700000,160,0.55,64.38,44.40,80.662985,57
0.800000,157,0.54,65.61,44.40,82.204316,54
0.900000,150,0.52,68.67,44.40,86.040517,47
1.000000,101,0.35,76.24,33.19,95.527057,24
